time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200
50,0.0969148997529192,0.0909290539059573,0.0911288113438571,0.0913883217777277,0.0913924928282331,0.0915391727031464,0.0915615223860194,0.0916011701400701,0.09174391523985,0.0918267660991548,0.0920005650900119,0.0921906001655288,0.0923326972761644,0.0925520169065328,0.0928157250518196,0.0931148934147107,0.0933488977731447,0.0937110438909328,0.0940860768451631,0.0944978341877118,0.0948944466977795,0.0953392170537993,0.0957866786143615,0.0963028996943015,0.0967996768600345,0.0972871129859277,0.0978066163310192,0.0983172650104377,0.0988279660302639,0.0993206762389748,0.0997917583064552,0.100221945611173,0.100634582212522,0.101002415608252,0.101322047968176,0.101574064191541,0.101795988613809,0.101918618818007,0.101990050210414,0.101987500735737,0.10190607735604,0.101743829688471,0.10150222574913,0.101183572365259,0.100789637465205,0.100304965661382,0.0997749944032955,0.0991700540335995,0.0984985110553563,0.0977796562870248,0.0970306530812256,0.0962404170792562,0.0954311116066855,0.0946222073147287,0.0938035527407881,0.093019520039123,0.0922567094759034,0.0915429560734024,0.0908973997058708,0.0903024446433872,0.0898138341911254,0.0894108747973573,0.0891171044472984,0.0889467715840596,0.0888844629957356,0.0889636934191093,0.0891717020953468,0.0895135140745824,0.0899910619095118,0.090602183019881,0.0913379859487743,0.0921869257789937,0.0931474330564769,0.0942039714665814,0.0953433007009067,0.0965421582269878,0.0977955038164309,0.0990733261467527,0.100363106925856,0.101642207068433,0.102884450603704,0.104072283779772,0.10518427513086,0.106193796527522,0.107098462180548,0.107851136989438,0.108462027441427,0.10889870337439,0.109149898103737,0.109207095349487,0.109068309084472,0.108708184557486,0.108145864274347,0.107369056894522,0.106383839368931,0.105196067146904,0.103816942687285,0.102269950093226,0.100556639433309,0.0987128632992227,0.096749010932827,0.0947108682374218,0.0926119811890522,0.0904971114984747,0.0884003091192072,0.086356074119943907,0.084402211030471,0.0825717537721903,0.0809211288391461,0.0794721655803323,0.0782627818311915,0.0773312093622939,0.0766990080090864,0.0763893642311261,0.076437621549206,0.0768321616805459,0.0776054335639075,0.0787429287804772,0.0802448666503638,0.0820947368947162,0.0842758484260463,0.0867523319554994,0.0895081117720722,0.0924861661331625,0.0956621575214537,0.098968068819378,0.102368538006961,0.105803274121964,0.109207521154331,0.112547441276422,0.115739071290472,0.11874909379936,0.121512983638469,0.123976018567369,0.126096758776692,0.127826719180364,0.129116449986324,0.129946235305985,0.130271228905742,0.130070182343297,0.129321433085651,0.128014946219713,0.126140382145739,0.123708214613384,0.120717383971036,0.117195843568769,0.113167664649762,0.108673049575664,0.103754291946486,0.0984767076111251,0.0929034666137669,0.0871138529169322,0.0811993727864751,0.0752568702965329,0.0693906806571739,0.0637139382045824,0.0583451189428872,0.0534009885655044,0.0490049564288652,0.0452741043150596,0.042314415811729,0.0402240873234052,0.0390886692213253,0.0389793769443166,0.0399374975224482,0.041993061818492,0.04514246267991,0.0493678059965599,0.0546127807707518,0.0608168570764013,0.0678804504918746,0.0756959933492402,0.0841388709049276,0.093072110600671,0.102351836597867,0.111826250305785,0.121347580102044,0.130770760984008,0.139938617936134,0.148725162993665,0.156990508278703,0.16461663945901,0.171485031742693,0.177491006919674,0.182529499667734,0.186525578346007,0.189385953664385,0.19103919312601,0.191419974267147,0.190484768788279,0.188156032426505,0.18440926560889,0.179215244327501,0.172531087124109,0.164350590977164,0.15463387291223,0.143310713516479,0.12969019749084,0.126743556495248,0.210179978206899
75,0.293758859492722,0.291593592011842,0.289602062270221,0.286364239640499,0.281796296334939,0.275968894329616,0.26886466240057,0.260440127226592,0.250756901137569,0.239800872507456,0.227643901617026,0.214210274070195,0.199682807427675,0.184109811239579,0.167492520536707,0.150065818054036,0.131904812049857,0.11316880078873,0.0940209745040078,0.0744944766435931,0.049797447871144,0.00338664208071414,8.33149860989586e-5,3.18299872835045e-5,1.77979913552264e-5,1.18627849825886e-5,8.75704261875418e-6,6.9123332718086e-6,5.72099226677593e-6,4.90549631515286e-6,4.32377818219611e-6,3.89680729686294e-6,3.57781973955844e-6,3.33783457356699e-6,3.15839198005535e-6,3.0276164793583e-6,2.938018928169e-6,2.8853164102455e-6,2.86782512310094e-6,2.88629608477306e-6,2.94408326483722e-6,3.04792228582775e-6,3.2092892799392e-6,3.44713199331799e-6,3.79309405800467e-6,4.3021373978337e-6,5.07598871037969e-6,6.32046060085146e-6,8.50891273676759e-6,1.2959945853618e-5,2.47065661380697e-5,8.3324674983007e-5,0.0178914469989313,0.0466603771343486,0.0628319046686456,0.0766047477323958,0.0896922480667836,0.101993714234953,0.113363664408566,0.123700671301996,0.13291626728548,0.140927349395207,0.147672797146817,0.153104405953199,0.157198784132725,0.15991615559011,0.161253687489066,0.161205179378201,0.159780857904887,0.156991714668848,0.152866763889978,0.147444334916535,0.14076977105242,0.132904508460484,0.123914897955973,0.11391172752552,0.102988378125429,0.0912552775018352,0.0788707396054431,0.0659669966645152,0.0526653278767466,0.0362200945459735,0.00393726628648659,3.38172841841153e-5,1.27856737013576e-5,7.21929070459506e-6,4.88396777448036e-6,3.66693990303063e-6,2.94703969947931e-6,2.48519870903573e-6,2.17262773556995e-6,1.95386505262211e-6,1.79824479575577e-6,1.68788926443792e-6,1.61204571961413e-6,1.56432600091316e-6,1.54124621195442e-6,1.54155634012349e-6,1.5660177036909e-6,1.61759928998358e-6,1.70218404519927e-6,1.83004393008494e-6,2.01881446900967e-6,2.29969626784457e-6,2.73139303006845e-6,3.4349733037097e-6,4.69614297814924e-6,7.34338611362277e-6,1.47792552672742e-5,6.11589077120356e-5,0.0214573705000741,0.0453294418812018,0.060268272784591403,0.0737156425176385,0.0867122626523128,0.0990958369208074,0.110738963100559,0.121501554814916,0.131270900559561,0.139959268408356,0.147481556698356,0.153770547900612,0.158785066211827,0.162479224600601,0.164821409668263,0.165801138732314,0.165405392814317,0.16363004224032,0.160494405211008,0.156008055151519,0.150203836038839,0.143122834431672,0.134819891853173,0.125364147628984,0.114832452411786,0.103335431965622,0.0909825220105245,0.0779011375288425,0.0642264498903179,0.0485859033744902,0.0219441272148831,3.83424169241529e-5,9.6734542795215e-6,4.77359640062714e-6,3.00393683633775e-6,2.15281410604784e-6,1.67257514960547e-6,1.37278557024602e-6,1.17231852466846e-6,1.03161971264467e-6,9.29441344474768e-7,8.53522819032369e-7,7.96394348409548e-7,7.53325340998639e-7,7.212525804442e-7,6.98177561203217e-7,6.82835059176312e-7,6.74502489963484e-7,6.72900770627866e-7,6.78161736049392e-7,6.90854322536229e-7,7.12081002486197e-7,7.43662876135831e-7,7.88485300662536e-7,8.51120404544081e-7,9.3899095932094e-7,1.06468579936563e-6,1.25089376669108e-6,1.54211740763767e-6,2.03646690520813e-6,2.99042203145333e-6,5.28611040612213e-6,1.41845131036637e-5,0.00638690970041066,0.044771977312495,0.0642869775627086,0.080120607930362,0.0953608079070789,0.10987805297485401,0.123524751070421,0.136155603601145,0.147646329162801,0.157895968598267,0.166816507258812,0.174331994468128,0.180390636105467,0.184943637515618,0.187957338309534,0.189398495591921,0.189254770395785,0.187510741611419,0.18415807865967,0.179199680347607,0.172639624541061,0.164491471358985,0.154746441439112,0.143356015260809,0.129636115098789,0.126744612046932,0.212020127303019
100,0.289123198760222,0.2880443067657,0.286871649342487,0.284883655369468,0.282144745233278,0.278474890363393,0.27409769351354,0.268697141728611,0.262478326265977,0.255231842338281,0.247051478967183,0.237822819231807,0.227556188966257,0.216261186601945,0.20390628683507,0.190553051121982,0.176203072695832,0.160895658592031,0.144768168407228,0.127853483348875,0.110281660811434,0.092155044725884,0.0730399396561202,0.0461840002696234,3.4319422957219e-4,2.70572608626275e-5,1.10528768646774e-5,6.31197972378806e-6,4.23263697432836e-6,3.11922486393059e-6,2.44545067257446e-6,2.00230011371471e-6,1.69263782370578e-6,1.46606399868986e-6,1.29416764512827e-6,1.15990144980443e-6,1.05248067925508e-6,9.64808935827485e-7,8.9203714699331e-7,8.30761665434876e-7,7.78528600810504e-7,7.33531952469613e-7,6.9441516146296e-7,6.60141321294709e-7,6.29909572643204e-7,6.03089386468306e-7,5.79182060358433e-7,5.57787129797327e-7,5.38581267018568e-7,5.21303212647116e-7,5.05738586079873e-7,4.91713227800463e-7,4.79083331621843e-7,4.67734843440368e-7,4.57573581251377e-7,4.48526150690617e-7,4.4053758209693e-7,4.33569053921018e-7,4.27596003860478e-7,4.22609528312961e-7,4.18615646096956e-7,4.15637101058216e-7,4.13714679083413e-7,4.12908246433634e-7,4.13302897236672e-7,4.15012233359366e-7,4.18185678201762e-7,4.2301850384464e-7,4.29765790633326e-7,4.38762756990461e-7,4.50450631290444e-7,4.65422242754209e-7,4.84483224536531e-7,5.08750500728404e-7,5.39807186115508e-7,5.79967109439863e-7,6.32718746877269e-7,7.03548458505711e-7,8.01513586564498e-7,9.42548367645722e-7,1.1570198388028e-6,1.5094488402076e-6,2.15958688017742e-6,3.61030612159311e-6,8.30459070810104e-6,7.54677190409749e-5,0.0394089625387253,0.0637166664768349,0.0799583935450605,0.0946367925047291,0.108266094843442,0.120727811001198,0.131925695568768,0.141767249809245,0.150173217604622,0.157096113744473,0.162484863483878,0.166307988357825,0.168551848963929,0.169203448221259,0.168262640582663,0.165742241097168,0.161658216462711,0.156046835158175,0.148941824602638,0.140405167359743,0.130503855394651,0.119319959333795,0.106956937701366,0.093528622643284,0.0791550133773489,0.063645580432144,0.0417965770255147,1.274853771546e-4,6.96371058141252e-6,2.84039252297451e-6,1.64027185602706e-6,1.11566440319797e-6,8.34783450118114e-7,6.64729519344153e-7,5.52868297314734e-7,4.74752526842785e-7,4.17685297823592e-7,3.74504778840491e-7,3.40902874722754e-7,3.14151625243829e-7,2.92451281042395e-7,2.74571809823013e-7,2.59647701341085e-7,2.47055009070619e-7,2.36334105416704e-7,2.2714073181661e-7,2.19212344313695e-7,2.12346664321793e-7,2.06386092873062e-7,2.01207226030657e-7,1.96712969778499e-7,1.92826569852157e-7,1.8948839125798e-7,1.86652102553375e-7,1.84283170582738e-7,1.82357110276693e-7,1.80858267309103e-7,1.79779524874645e-7,1.79122118503328e-7,1.78895565637717e-7,1.79118371153676e-7,1.79818979373283e-7,1.81037332570936e-7,1.82827088136849e-7,1.85258935271984e-7,1.88424843200268e-7,1.92444634822443e-7,1.97474247851455e-7,2.03719756639823e-7,2.11455608533323e-7,2.21053065611886e-7,2.33024735746994e-7,2.48094386633151e-7,2.67311732788344e-7,2.92250517910226e-7,3.25363739481045e-7,3.70663345963502e-7,4.35115058157317e-7,5.31772645499808e-7,6.87714980879275e-7,9.67657648987585e-7,1.56335087812777e-6,3.29511089107174e-6,1.5717152256194e-5,0.0319103866376814,0.0617234202721521,0.0794222497654358,0.0947540559152363,0.109033556325604,0.122150946665255,0.133992331971816,0.144455832472853,0.153461326470808,0.160939423877422,0.166842881208591,0.171129758495543,0.173775216484795,0.17476295427401,0.174086459055837,0.171748143544178,0.167761966637807,0.162147587172415,0.154939017115241,0.146183620826732,0.135943484195301,0.124291780374727,0.111320743151695,0.097136544341953,0.0818360080861668,0.0640317717284908,0.0335215205170961,1.324589675544e-5,2.69631056330285e-6,1.25836573535208e-6
125,0.322603971022605,0.321573291400051,0.319611178036066,0.316271371151038,0.311789078254295,0.305948555839059,0.29875305115828,0.290219563409267,0.280292540743122,0.268975388110223,0.256255369965462,0.242134042615851,0.226565061419433,0.209675277662395,0.191525185804122,0.172105741411604,0.151568141516835,0.130012451551014,0.107525791227352,0.0804711624965686,0.030715404277852,6.98747846276239e-6,1.91874206105796e-6,9.44211531723352e-7,5.83144150566355e-7,4.07729286333375e-7,3.08137029721294e-7,2.45531559583722e-7,2.03240302570458e-7,1.73094927312021e-7,1.50692315281776e-7,1.33481018054053e-7,1.19893228491323e-7,1.08919823532183e-7,9.98876361188481e-8,9.23299270843702e-8,8.59162994028375e-8,8.04062277805892e-8,7.56208612856584e-8,7.1424985247218e-8,6.77144997861632e-8,6.44084152175602e-8,6.1442373022276e-8,5.87650945329381e-8,5.63348752723965e-8,5.41180225306905e-8,5.20862196012836e-8,5.02164411955115e-8,4.84891169290042e-8,4.68876949786604e-8,4.53982219056893e-8,4.40088705559176e-8,4.27092943846635e-8,4.1490572244284e-8,4.03450608148408e-8,3.92659876664484e-8,3.82474313680687e-8,3.72842765998512e-8,3.63718530629487e-8,3.55060992269768e-8,3.46833769873613e-8,3.39004054157951e-8,3.31543223995203e-8,3.24424892501879e-8,3.17625085814234e-8,3.11122677065092e-8,3.04897863382062e-8,2.98933325988688e-8,2.93212345239994e-8,2.87720663645381e-8,2.82444358633556e-8,2.7737116711648e-8,2.72489419248393e-8,2.67788576493106e-8,2.6325881672372e-8,2.58891182544487e-8,2.54676944432521e-8,2.50608548526873e-8,2.4667857403438e-8,2.42880183638645e-8,2.39206926655363e-8,2.3565286008463e-8,2.32212509392787e-8,2.28880486868156e-8,2.25651953263433e-8,2.22522220767153e-8,2.19486938949625e-8,2.16542050187597e-8,2.13683419307607e-8,2.10907576063979e-8,2.08211030577975e-8,2.05590314217431e-8,2.03042516901903e-8,2.00564466499959e-8,1.9815356550326e-8,1.95806884235436e-8,1.93522050525004e-8,1.91296639259106e-8,1.89128272148975e-8,1.87014814562431e-8,1.84954159157875e-8,1.82944238896999e-8,1.80983252798373e-8,1.79069306322228e-8,1.77200727065647e-8,1.75375810871167e-8,1.73592968369601e-8,1.71850716355376e-8,1.70147646332767e-8,1.68482286542574e-8,1.66853389567117e-8,1.65259581826554e-8,1.63699750752694e-8,1.62172788700873e-8,1.60677401568648e-8,1.59212627491752e-8,1.5777751109846e-8,1.56370980078669e-8,1.54992082272993e-8,1.53639951448364e-8,1.52313810362971e-8,1.51012712932926e-8,1.49735963137986e-8,1.48482736871184e-8,1.47252317800151e-8,1.4604409727847e-8,1.44857305695397e-8,1.43691320440335e-8,1.42545495395735e-8,1.4141938161869e-8,1.40312245760324e-8,1.39223655003546e-8,1.38153036434508e-8,1.37099898384765e-8,1.36063770691919e-8,1.35044164024222e-8,1.34040634518244e-8,1.33052817894337e-8,1.32080260027215e-8,1.31122511325671e-8,1.30179281085768e-8,1.29250167111863e-8,1.28334823942011e-8,1.2743287777452e-8,1.26544033415161e-8,1.25667982992307e-8,1.24804435825905e-8,1.23953056853077e-8,1.23113560723616e-8,1.22285707836535e-8,1.21469236969585e-8,1.20663890489127e-8,1.19869415060867e-8,1.19085578109069e-8,1.18312114975771e-8,1.17548878621049e-8,1.16795567204285e-8,1.16052040161764e-8,1.15318073100576e-8,1.14593464659592e-8,1.13878058641556e-8,1.13171610339738e-8,1.12474029637891e-8,1.11785021265794e-8,1.11104546490511e-8,1.10432362974227e-8,1.09768334552199e-8,1.09112307525981e-8,1.08464145477758e-8,1.07823684289879e-8,1.07190810339141e-8,1.06565360667214e-8,1.05947191591023e-8,1.0533618528273e-8,1.04732209606513e-8,1.04135162282501e-8,1.03544898855025e-8,1.02961336426609e-8,1.02384326866916e-8,1.01813763296915e-8,1.01249531807091e-8,1.00691541288739e-8,1.00139693888347e-8,9.95938645070794e-9,9.90539517640029e-9,9.85198747556151e-9,9.79915334147533e-9,9.74688672270098e-9,9.69517270468179e-9,9.64400414015758e-9,9.59337522191911e-9,9.54327505658077e-9,9.49369705980783e-9,9.44462798656346e-9,9.39606659445146e-9,9.34800488370508e-9,9.30042835943224e-9,9.25333681108729e-9,9.20671714744988e-9,9.16056824159317e-9
150,0.326389815984009,0.325633859339136,0.323256540604357,0.31957568329671,0.314433858580503,0.307829912894835,0.299749716842941,0.290136049118061,0.279022867662087,0.266356336724441,0.25215228097961,0.236442684677943,0.219246354285785,0.200621119244171,0.18064950185147,0.159425321172432,0.137042932300922,0.113571005016865,0.0852596820813395,0.0330170853215407,1.055428478669e-6,2.85717586362697e-7,1.39831959102298e-7,8.60671794706846e-8,6.00331024851863e-8,4.52873794075308e-8,3.60365479109725e-8,2.97981046791701e-8,2.53582187117677e-8,2.20636488052495e-8,1.95360439565363e-8,1.7543315611291e-8,1.59363091569995e-8,1.46153094666303e-8,1.35115000739141e-8,1.25760522432453e-8,1.17734332261797e-8,1.10772717306361e-8,1.0467631353169e-8,9.9291782302701e-9,9.44993514973274e-9,9.02045042618044e-9,8.63315318296866e-9,8.2819232094135e-9,7.96176019236568e-9,7.66854671395801e-9,7.39885665566419e-9,7.14982777956219e-9,6.91903957074584e-9,6.70444138317959e-9,6.50428255420934e-9,6.31705726680734e-9,6.14146963551746e-9,5.97638832803218e-9,5.82083402968393e-9,5.67394677707484e-9,5.5349666611453e-9,5.40322906815517e-9,5.27813994355409e-9,5.15917311583978e-9,5.04585893939436e-9,4.93777713578028e-9,4.83454830121764e-9,4.73583317038654e-9,4.64132431693208e-9,4.55074168827997e-9,4.46383407117838e-9,4.38036813040417e-9,4.3001359186793e-9,4.22294276500163e-9,4.14861304829355e-9,4.07698468096598e-9,4.00790827362659e-9,3.94124411105076e-9,3.87686637729557e-9,3.81465608704606e-9,3.75450351658352e-9,3.6963065925324e-9,3.63997042625246e-9,3.58540660036576e-9,3.53253230596438e-9,3.48126975831508e-9,3.43154644963887e-9,3.38329517106107e-9,3.33645100154747e-9,3.29095374691081e-9,3.24674818659783e-9,3.20377919486658e-9,3.16199663804048e-9,3.12135372030941e-9,3.08180437890856e-9,3.04330628263003e-9,3.00581913882653e-9,2.96930434417797e-9,2.93372495164728e-9,2.89904712074292e-9,2.8652369720704e-9,2.83226322705103e-9,2.80009610784042e-9,2.76870671684955e-9,2.73806805271162e-9,2.70815349204988e-9,2.6789386039884e-9,2.6503993279784e-9,2.62251252310308e-9,2.59525676837555e-9,2.56861070778178e-9,2.54255451003772e-9,2.51706901548666e-9,2.49213549448903e-9,2.46773615894378e-9,2.4438539716457e-9,2.42047256208059e-9,2.39757597037225e-9,2.37514954919325e-9,2.3531782933729e-9,2.3316484982052e-9,2.31054603162871e-9,2.28985865384326e-9,2.26957357159588e-9,2.24967872415609e-9,2.23016247876912e-9,2.21101378773792e-9,2.19222149489349e-9,2.17377574124232e-9,2.15566617151577e-9,2.13788315617141e-9,2.12041759455905e-9,2.10326040355921e-9,2.08640280280473e-9,2.06983652037271e-9,2.05355361412699e-9,2.03754616691194e-9,2.02180674614601e-9,2.00632786136014e-9,1.99110286688947e-9,1.97612489606707e-9,1.96138737933822e-9,1.9468841237716e-9,1.93260894977181e-9,1.91855610627726e-9,1.90471992478097e-9,1.89109463333553e-9,1.87767543189727e-9,1.8644568542624e-9,1.85143419381494e-9,1.83860257135251e-9,1.82595739512134e-9,1.81349429901356e-9,1.80120887497893e-9,1.78909686671893e-9,1.7771544304349e-9,1.76537770005139e-9,1.7537627754696e-9,1.74230597433082e-9,1.73100395403892e-9,1.71985322084064e-9,1.70885053250347e-9,1.69799251658528e-9,1.68727624890079e-9,1.67669849783915e-9,1.66625667200289e-9,1.65594773218355e-9,1.64576900680097e-9,1.63571792315453e-9,1.62579170441391e-9,1.61598813244418e-9,1.60630459382975e-9,1.59673874961518e-9,1.58728841996198e-9,1.57795124282061e-9,1.56872526729155e-9,1.55960823719334e-9,1.55059814421614e-9,1.54169301803557e-9,1.5328909601985e-9,1.52419019216187e-9,1.51558877520743e-9,1.50708485840054e-9,1.49867687759522e-9,1.49036306739533e-9,1.48214178626062e-9,1.47401148288388e-9,1.46597059017059e-9,1.45801752734334e-9,1.45015088462917e-9,1.44236918462748e-9,1.43467109537472e-9,1.4270552155376e-9,1.41952010375774e-9,1.4120644562042e-9,1.40468711602513e-9,1.39738681448998e-9,1.39016210498088e-9,1.38301210803243e-9,1.37593548300686e-9,1.36893109311345e-9,1.36199784124476e-9,1.35513470998273e-9,1.34834043853836e-9
175,0.326708883932255,0.32565358517924903,0.323199114058771,0.319238374196728,0.313707161602121,0.306658571562643,0.298007949127103,0.287713709338037,0.275880391992237,0.262359117395192,0.247254155114794,0.230588983982806,0.212375246964579,0.192691201785,0.171637285877062,0.149301264930851,0.12578575890571,0.0999074647738409,0.0602949609976642,9.76703841982022e-6,1.0882236007676599e-06,4.53864597793113e-7,2.59919745370412e-7,1.73985507110027e-7,1.27799309942469e-7,9.98194851790736e-8,8.14191357139378e-8,6.85705806680592e-8,5.91782564028719e-8,5.20593649360575e-8,4.6503702195852e-8,4.20617627692996e-8,3.8437489872493e-8,3.54289126327089e-8,3.28938835358418e-8,3.07300971887368e-8,2.8862205185663e-8,2.72335064711016e-8,2.58006516157483e-8,2.45300235080486e-8,2.33951691263957e-8,2.23749863781796e-8,2.14524909338407e-8,2.0613873118157e-8,1.98477306483061e-8,1.91447010027446e-8,1.84969176398283e-8,1.78977707123211e-8,1.73416859285279e-8,1.68238521314174e-8,1.63402327080117e-8,1.58872851730273e-8,1.54619520421703e-8,1.5061632969465e-8,1.46839665922828e-8,1.43269573088927e-8,1.39887896627614e-8,1.36679024273758e-8,1.33628737405549e-8,1.30724766278437e-8,1.27955853148361e-8,1.25311895508103e-8,1.22784046498647e-8,1.20364087165249e-8,1.18044715882672e-8,1.1581926317387e-8,1.13681842802549e-8,1.11626766412512e-8,1.09649026276387e-8,1.07743940991801e-8,1.05907561029593e-8,1.04135873080509e-8,1.02425321332751e-8,1.0077263680597e-8,9.91747456928334e-9,9.76288024314485e-9,9.61321100662542e-9,9.46825024631656e-9,9.32775163340371e-9,9.19150261267957e-9,9.059315019202e-9,8.93100383398346e-9,8.8064007554177e-9,8.6853306790039e-9,8.56765736400216e-9,8.45322674454574e-9,8.34190658875171e-9,8.2335736200767e-9,8.12810528046454e-9,8.02539174472342e-9,7.92531981738642e-9,7.82780389136202e-9,7.73273369564071e-9,7.64002751322445e-9,7.54958892838684e-9,7.46134314319566e-9,7.37521745473079e-9,7.29112967815478e-9,7.20900896741253e-9,7.12879465322137e-9,7.05041861107662e-9,6.9738204099512e-9,6.89894536915741e-9,6.82572424969556e-9,6.75411845383026e-9,6.68406926045559e-9,6.61553095424188e-9,6.54845444628237e-9,6.48279599330887e-9,6.41850930428723e-9,6.35555228187342e-9,6.29389045301001e-9,6.23348352020621e-9,6.1742881815848e-9,6.11627579145648e-9,6.05941340181805e-9,6.00365688438729e-9,5.94898699443938e-9,5.89536415382271e-9,5.84276632308261e-9,5.7911608605861e-9,5.74051474983118e-9,5.69081143153321e-9,5.64201751327367e-9,5.59411588571103e-9,5.54707155509278e-9,5.50086978648812e-9,5.45548648265062e-9,5.41089947580156e-9,5.36708708226696e-9,5.32403180994874e-9,5.28170798891917e-9,5.2400996400318e-9,5.19918950399718e-9,5.15895950158794e-9,5.11939104296684e-9,5.08046761923121e-9,5.04217508012569e-9,5.00449399121087e-9,4.96741305915293e-9,4.93091296373617e-9,4.89498382956339e-9,4.85961079268458e-9,4.82477745129834e-9,4.79047579422887e-9,4.75668831485535e-9,4.72340181193702e-9,4.6906125336179e-9,4.65829996047227e-9,4.62645651110456e-9,4.59507241811327e-9,4.56413611241979e-9,4.53363736331016e-9,4.50356632155274e-9,4.47391443301404e-9,4.44467176212499e-9,4.41582523310855e-9,4.38737384098194e-9,4.35930016896494e-9,4.33160367678245e-9,4.30427273261516e-9,4.27729992670881e-9,4.25067844833075e-9,4.22439895007858e-9,4.19845663481559e-9,4.17284495992561e-9,4.14755468823284e-9,4.12257781373744e-9,4.09791289599777e-9,4.07355113974855e-9,4.04948710586994e-9,4.02571410083208e-9,4.00222882333873e-9,3.97902154093636e-9,3.95609183029999e-9,3.93342873251656e-9,3.91103359412212e-9,3.88889514448612e-9,3.86701417760506e-9,3.84538334923278e-9,3.82399758999051e-9,3.80285156991962e-9,3.78194378840648e-9,3.76126936967399e-9,3.74082383191896e-9,3.72060240154237e-9,3.70060177555212e-9,3.68082000307191e-9,3.66124877207376e-9,3.64188858320098e-9,3.62273495147974e-9,3.60378453530473e-9,3.58503114427572e-9,3.56647703227482e-9,3.54811300354604e-9,3.52994034856547e-9,3.51195434672071e-9,3.49415224391235e-9,3.47653105794381e-9,3.45908923868696e-9
