time,radius,frequency,efficiency
300,15,0.200477353374753,311.504205003975
400,15,0.187008882554336,632.828724776843
500,15,0.177452078289597,1090.8055051828
1000,14,0.14194812232879,4926.72381025363
2000,14,0.105874449007832,6892.66351530325
5000,14,0.0876310601766043,8498.79399110174
10000,14,0.112119388601524,1088803.23415428
20000,14,0.0666842951896938,11425.2173151922
