time,radius,frequency,efficiency
300,6,0.175563281695463,10667.0723416575
400,6,0.164107799791679,21607.0497632418
500,6,0.127994006710884,29478.5792971417
1000,5,0.133300276910722,41025.0589858414
2000,5,0.115525510562315,48556.822687513
5000,5,0.100572037267962,56933.6694519916
10000,5,0.115524993763361,30487501.4454757
