time,radius,frequency,efficiency
300,36,0.375627393950539,3.12925551040326
400,32,0.384411606762437,4.98863738112699
500,30,0.388726001391199,7.58037621005516
600,29,0.389280455380809,11.0076591490012
700,28,0.391585777337773,15.3587345852187
800,27,0.395818102755878,20.7067703348871
900,26,0.402247999779473,27.0822876909094
1000,26,0.398686928779166,34.5852684281541
5000,23,0.405576894634985,225.107608519708
6000,23,0.405576894634985,225.107608519708
7000,23,0.405576894634985,225.107608519708
8000,23,0.405576894634985,225.107608519708
9000,23,0.405576894634985,225.107608519708
10000,23,0.40922970551396,6193.43103120148
